Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
Decision Tree,99.3587325537533,98.92141756548536,98.8343963052562,98.87788778877888
Random Forest,99.5096190116937,99.71078976640712,98.57048603474819,99.13735899137359
K-NN,93.8073682886961,87.8131634819533,90.96107323510006,89.35940369450147
SVM,92.73230227587074,89.8659769574418,84.05542115680669,86.86363636363636
Logistic Regression,92.86432792656859,90.61904761904762,83.70354079612932,87.02412255630502
XGBoost,99.5850622406639,99.53570638956445,99.01033648559489,99.2723263506064
Naïve Bayes,89.6579906953351,80.02897350993378,85.0450846712118,82.46081671820023
LightGBM,99.42160191122846,99.31370378569846,98.65845612491752,98.98499558693733
Gradient Boosting,98.23965799069533,98.04098176086467,95.75544314932924,96.88473520249221
AdaBoost,97.79328555262165,96.97716077026422,95.24961513085552,96.10562520803285
